Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Final_Score
4.37,82.1,45.67,5,7.14,57.24
9.56,54.21,89.64,2,5.67,80.65
7.59,58.08,67.79,10,4.7,81.38
6.39,94.93,85.46,6,7.97,93.1
2.4,80.32,57.6,5,7.1,65.84
2.4,50.46,89.25,6,6.67,64.31
1.52,55.07,61.41,1,8.47,51.49
8.8,83.18,40.6,5,7.94,77.45
6.41,50.25,89.8,9,4.76,81.63
7.37,58.04,45.02,10,5.56,69.6
1.19,77.44,57.56,2,5.24,47.28
9.73,84.59,92.25,1,7.72,89.95
8.49,82.6,92.28,10,4.17,96.96
2.91,61.21,71.54,9,6.85,76.15
2.64,85.61,74.75,10,7.81,74.86
2.65,61.86,64.66,9,8.38,82.42
3.74,66.27,56.13,9,5.71,70.97
5.72,87.32,58.08,6,8.11,80.22
4.89,82.48,76.99,8,4.55,76.93
3.62,92.46,81.38,1,8.23,77.51
6.51,82.88,83.54,10,4.64,89.49
2.26,78.42,83.43,4,5.99,69.29
3.63,54.68,45.02,1,7.99,64.42
4.3,68.39,67.19,8,4.75,71.92
5.1,63.26,43.17,1,5.15,61.18
8.07,62.2,70.22,3,7.61,76.96
2.8,98.65,64.28,4,7.6,70.38
5.63,69.65,88.82,8,7.21,96.26
6.33,94.6,59.3,6,7.47,79.9
1.42,81.56,46.44,10,6.71,72.38
6.47,89.74,47.86,7,5.26,81.12
2.53,75.13,81.88,8,5.73,71.23
1.59,78.85,74.0,2,4.91,62.23
9.54,74.63,45.56,10,8.54,96.4
9.69,59.76,44.63,8,6.92,86.5
8.28,86.12,78.55,3,6.0,80.64
3.74,64.04,44.0,7,6.31,57.68
1.88,51.22,85.2,3,8.74,61.2
7.16,82.27,78.84,7,4.77,88.11
4.96,58.86,44.47,2,6.93,60.68
2.1,97.02,44.67,10,6.53,69.65
5.46,97.7,94.27,6,7.06,85.9
1.31,95.74,60.58,3,4.09,60.22
9.18,68.51,60.39,3,8.36,86.32
3.33,50.77,84.7,9,8.66,78.95
6.96,96.42,92.1,7,6.83,100.0
3.81,71.41,94.23,5,7.48,83.3
5.68,98.33,81.44,10,8.61,98.88
5.92,98.18,60.69,7,7.54,84.19
2.66,92.65,44.59,9,4.76,58.05
9.73,64.72,82.74,1,6.88,89.71
7.98,69.25,70.71,7,7.03,88.55
9.46,92.56,63.33,6,6.12,94.88
9.05,65.85,89.85,10,7.68,95.89
6.38,58.47,46.12,9,8.67,69.86
9.3,77.84,67.09,1,8.63,90.88
1.8,96.81,40.62,4,6.25,56.76
2.76,84.8,65.78,9,4.57,75.37
1.41,78.5,43.1,4,8.92,54.7
3.93,54.86,46.53,10,8.19,67.09
4.5,80.75,46.46,3,4.62,66.01
3.44,99.5,75.71,9,8.6,82.94
8.46,57.0,81.03,2,8.35,84.05
4.21,75.92,72.09,4,6.59,69.23
3.53,93.87,92.92,6,6.96,82.12
5.88,87.04,60.62,2,6.0,71.02
2.27,84.85,55.71,8,4.27,66.04
8.22,85.12,87.77,8,5.68,96.05
1.67,67.97,52.3,1,8.01,56.94
9.88,64.68,92.98,3,4.02,87.35
7.95,90.47,40.67,10,5.67,84.41
2.79,90.51,93.34,9,5.99,82.35
1.05,93.35,42.37,5,6.69,63.27
8.34,95.66,89.01,6,8.6,100.0
7.36,75.57,69.02,4,5.73,85.71
